"SCNAME","SCMENU","SCOPT#","SCXCO#","SCXGRP","SCEXPD","SCADUS","SCADDT","SCADTM","SCCHUS","SCCHDT","SCCHTM","SCFROM"
"COCCISAYA","CAMENU2561","023",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU2561","023",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","CAMENU2561","024",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU2561","024",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","CAMENU2561","025",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU2561","025",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","CAMENU2561","031",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU2561","031",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","CAMENU2561","050",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU2561","050",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","CAMENU2561","051",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CAMENU2561","051",2,"",0,"COCCRICKE",1240503,160310,"COCCRICKE",1240503,160310,""
"COCCISAYA","CEMENU","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CEMENU","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CEMENU","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CEMENU","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CEMENU","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CEMENU","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","020",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","021",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","022",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","023",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","040",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","CMMENU","999",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","001",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","002",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","003",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","004",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","005",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","006",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","007",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","008",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","009",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","010",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","011",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
"COCCISAYA","COMENU","012",1,"",0,"COCCRICKE",1240503,155545,"COCCRICKE",1240503,155545,""
